"Mês","","Variável",""
"dezembro 1979","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000076183"
"dezembro 1979","Brasil","IPCA - Variação mensal","..."
"janeiro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000081223"
"janeiro 1980","Brasil","IPCA - Variação mensal (%)","6.62"
"fevereiro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000084973"
"fevereiro 1980","Brasil","IPCA - Variação mensal (%)","4.62"
"março 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000090104"
"março 1980","Brasil","IPCA - Variação mensal (%)","6.04"
"abril 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000094867"
"abril 1980","Brasil","IPCA - Variação mensal (%)","5.29"
"maio 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000100277"
"maio 1980","Brasil","IPCA - Variação mensal (%)","5.70"
"junho 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000105597"
"junho 1980","Brasil","IPCA - Variação mensal (%)","5.31"
"julho 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000111453"
"julho 1980","Brasil","IPCA - Variação mensal (%)","5.55"
"agosto 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000116965"
"agosto 1980","Brasil","IPCA - Variação mensal (%)","4.95"
"setembro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000121913"
"setembro 1980","Brasil","IPCA - Variação mensal (%)","4.23"
"outubro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000133471"
"outubro 1980","Brasil","IPCA - Variação mensal (%)","9.48"
"novembro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000142378"
"novembro 1980","Brasil","IPCA - Variação mensal (%)","6.67"
"dezembro 1980","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000151795"
"dezembro 1980","Brasil","IPCA - Variação mensal (%)","6.61"
"janeiro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000162174"
"janeiro 1981","Brasil","IPCA - Variação mensal (%)","6.84"
"fevereiro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000172555"
"fevereiro 1981","Brasil","IPCA - Variação mensal (%)","6.40"
"março 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000181134"
"março 1981","Brasil","IPCA - Variação mensal (%)","4.97"
"abril 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000192839"
"abril 1981","Brasil","IPCA - Variação mensal (%)","6.46"
"maio 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000203560"
"maio 1981","Brasil","IPCA - Variação mensal (%)","5.56"
"junho 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000214792"
"junho 1981","Brasil","IPCA - Variação mensal (%)","5.52"
"julho 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000228229"
"julho 1981","Brasil","IPCA - Variação mensal (%)","6.26"
"agosto 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000240772"
"agosto 1981","Brasil","IPCA - Variação mensal (%)","5.50"
"setembro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000253429"
"setembro 1981","Brasil","IPCA - Variação mensal (%)","5.26"
"outubro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000266297"
"outubro 1981","Brasil","IPCA - Variação mensal (%)","5.08"
"novembro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000280335"
"novembro 1981","Brasil","IPCA - Variação mensal (%)","5.27"
"dezembro 1981","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000296946"
"dezembro 1981","Brasil","IPCA - Variação mensal (%)","5.93"
"janeiro 1982","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000317628"
"janeiro 1982","Brasil","IPCA - Variação mensal (%)","6.97"
"fevereiro 1982","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000338708"
"fevereiro 1982","Brasil","IPCA - Variação mensal (%)","6.64"
"março 1982","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000000358057"
