"Mês","","Variável",""
"março 1986","Brasil","Custo médio m² - moeda corrente","..."
"abril 1986","Brasil","Custo médio m² - moeda corrente","..."
"maio 1986","Brasil","Custo médio m² - moeda corrente","..."
"junho 1986","Brasil","Custo médio m² - moeda corrente","..."
"julho 1986","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1986","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1986","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1986","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1986","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1986","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1987","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1987","Brasil","Custo médio m² - moeda corrente","..."
"março 1987","Brasil","Custo médio m² - moeda corrente","..."
"abril 1987","Brasil","Custo médio m² - moeda corrente","..."
"maio 1987","Brasil","Custo médio m² - moeda corrente","..."
"junho 1987","Brasil","Custo médio m² - moeda corrente","..."
"julho 1987","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1987","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1987","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1987","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1987","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1987","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1988","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1988","Brasil","Custo médio m² - moeda corrente","..."
"março 1988","Brasil","Custo médio m² - moeda corrente","..."
"abril 1988","Brasil","Custo médio m² - moeda corrente","..."
"maio 1988","Brasil","Custo médio m² - moeda corrente","..."
"junho 1988","Brasil","Custo médio m² - moeda corrente","..."
"julho 1988","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1988","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1988","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1988","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1988","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1988","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1989","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1989","Brasil","Custo médio m² - moeda corrente","..."
"março 1989","Brasil","Custo médio m² - moeda corrente","..."
"abril 1989","Brasil","Custo médio m² - moeda corrente","..."
"maio 1989","Brasil","Custo médio m² - moeda corrente","..."
"junho 1989","Brasil","Custo médio m² - moeda corrente","..."
"julho 1989","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1989","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1989","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1989","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1989","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1989","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1990","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1990","Brasil","Custo médio m² - moeda corrente","..."
"março 1990","Brasil","Custo médio m² - moeda corrente","..."
"abril 1990","Brasil","Custo médio m² - moeda corrente","..."
"maio 1990","Brasil","Custo médio m² - moeda corrente","..."
"junho 1990","Brasil","Custo médio m² - moeda corrente","..."
"julho 1990","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1990","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1990","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1990","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1990","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1990","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1991","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1991","Brasil","Custo médio m² - moeda corrente","..."
"março 1991","Brasil","Custo médio m² - moeda corrente","..."
"abril 1991","Brasil","Custo médio m² - moeda corrente","..."
"maio 1991","Brasil","Custo médio m² - moeda corrente","..."
"junho 1991","Brasil","Custo médio m² - moeda corrente","..."
"julho 1991","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1991","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1991","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1991","Brasil","Custo médio m² - moeda corrente","..."
