"Trimestre","Unidade da Federação","Nível de instrução","Variável","Valor"
"1º trimestre 2012","Rondônia","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2461"
"1º trimestre 2012","Rondônia","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1609"
"1º trimestre 2012","Rondônia","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1813"
"1º trimestre 2012","Rondônia","Ensino fundamental completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1986"
"1º trimestre 2012","Rondônia","Ensino médio incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1923"
"1º trimestre 2012","Rondônia","Ensino médio completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2409"
"1º trimestre 2012","Rondônia","Ensino superior incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","3076"
"1º trimestre 2012","Rondônia","Ensino superior completo ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","5613"
"1º trimestre 2012","Rondônia","Não determinado","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","-"
"1º trimestre 2012","Acre","Total","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","2661"
"1º trimestre 2012","Acre","Sem instrução e menos de 1 ano de estudo","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1188"
"1º trimestre 2012","Acre","Ensino fundamental incompleto ou equivalente","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)","1628"
